team_abbreviation_away,team_abbreviation_home,wl_home,game_date,home_conf,away_conf,winning_conference
NYK,PHX,W,2021-05-07T00:00:00Z,W,E,W
BKN,DEN,L,2021-05-08T00:00:00Z,W,E,E
MEM,TOR,L,2021-05-08T00:00:00Z,E,W,W
MIN,ORL,L,2021-05-09T00:00:00Z,E,W,W
NOP,CHA,L,2021-05-09T00:00:00Z,E,W,W
DAL,CLE,L,2021-05-09T00:00:00Z,E,W,W
NYK,LAC,L,2021-05-09T00:00:00Z,W,E,E
MIL,SAS,W,2021-05-10T00:00:00Z,W,E,W
MIN,DET,L,2021-05-11T00:00:00Z,E,W,W
NYK,LAL,W,2021-05-11T00:00:00Z,W,E,W
DEN,CHA,L,2021-05-11T00:00:00Z,E,W,W
LAC,TOR,L,2021-05-11T00:00:00Z,E,W,W
SAS,BKN,W,2021-05-12T00:00:00Z,E,W,E
SAS,NYK,W,2021-05-13T00:00:00Z,E,W,E
LAC,CHA,L,2021-05-13T00:00:00Z,E,W,W
